id,screen_name,text,polarity
879533470145531904,@MelizaPonqueta,Eres dueño de tu propio destino 😀😀,0
879533469998747648,@zkarina,RT @CaraotaDigital: #Consecomercio: El gobierno se dedica a imprimir billetes para cubrir los errores cometidos https://t.co/CNk5mOBkV9 htt…,0
879533470992740354,@NAYARIT_Riveris,RT @SonyMusicEC: ¡Bienvenido @_CarlosRivera a Ecuador! #GiraDeMedios 🎶📻📺 #CarlosRiveraEnEcuador https://t.co/GvfryVWtQF,1
879533471093465088,@mariaeu93993718,RT @AlbertoRT51: ÚLTIMA HORA | Los enfrentamientos en La Urbina: Esbirros del Gobierno arremeten con furia contra edificios y vehícu… ,0
879533471852638208,@bebesitaper04,"RT @elcitizen: Quién iba a pensar q un supuesto gobierno de izquierda iba a terminar como gorilas, reprimiendo y con las alforjas repletas…",0
879533472552960000,@Markisu,RT @AlbertoRT51: ÚLTIMA HORA | Los enfrentamientos en La Urbina: Esbirros del Gobierno arremeten con furia contra edificios y vehícu… ,0
879533472930562048,@dionisioterius,RT @Ramocabr: Si la @AsambleaVE con los art. 333 y 350 llaman a un Gobierno de transición usted #TransicionYaOPerdemosElPais,0
879533472842493952,@leomorante13,"RT @ObservadBinario: ¡Ay, Dios, cómo odio no equivocarme en esto!... No se duerman... Esto parece desencdenarse... https://t.co/9Hu8PzGyVT",0
879533473035431936,@E_BetancourtC,"Lo defienden, y hasta recomiendan que es buen dato si lo tratas. https://t.co/7eLG26f7Vl",1
879533473236533248,@RobieCur,"RT @guruchuirer: El relato de este sexenio podría ser un capítulo completo de ""La historia de la estupidez"". https://t.co/6yOdyKtiLU",1
879533476000792576,@slytherinjoshua,"puta la huea ctm, en medio del gobierno liberal me dio por escuchar long way home JKASJKASJ CONCENTRATE CULIA",1
879533476994838529,@marininaam,"RT @elcitizen: Quién iba a pensar q un supuesto gobierno de izquierda iba a terminar como gorilas, reprimiendo y con las alforjas repletas…",0
